State,Year,CO2_Balances,Energy_Consumption
Berlin,1999,514,18831.51669
Berlin,2000,478,21866.7768
Berlin,2001,488,19304.16722
Berlin,2002,478,18785.11262
Berlin,2003,395,16781.26564
Berlin,2004,383,15127.13611
Berlin,2005,330,14139.14571
Berlin,2006,659,19323.09594
Berlin,2007,618,19039.92671
Berlin,2008,669,19612.7043
Berlin,2009,525,15554.2862
Berlin,2010,558,16973.7416
Berlin,2011,557,17240.88779
Berlin,2012,511,16373.6897
Berlin,2013,452,15397.89688
Berlin,2014,299,12499.05741
Berlin,2015,306,12624.34566
Berlin,2016,271,11986.38586
Berlin,2017,274,11860.0004
Berlin,2018,271,12019.62868
Berlin,2019,244,11164.62218
Berlin,2020,236,10425.85672
Berlin,2021,255,10909.07466
Berlin,2022,249,10352.80106
Brandenburg,1990,10236,142874
Brandenburg,1991,5772,82791
Brandenburg,1992,4725,73390
Brandenburg,1993,4715,75468
Brandenburg,1994,4099,68113
Brandenburg,1995,4470,78651.669
Brandenburg,1996,4144,75224.996
Brandenburg,1997,4383,74812.341
Brandenburg,1998,4792,84621.282
Brandenburg,1999,4974,89024.70968
Brandenburg,2000,5038,89737.01302
Brandenburg,2001,4936,85791.34068
Brandenburg,2002,4824,91463.08112
Brandenburg,2003,4741,93203.77529
Brandenburg,2004,4128,90660.98199
Brandenburg,2005,3181,88422.88276
Brandenburg,2006,4528,95054.85597
Brandenburg,2007,4700,101661.7945
Brandenburg,2008,3675,85533.89975
Brandenburg,2009,3542,76360.61595
Brandenburg,2010,4358,89060.89453
Brandenburg,2011,4049,95776.62315
Brandenburg,2012,3816,96120.68545
Brandenburg,2013,4358,100343.6193
Brandenburg,2014,4166,95356.76719
Brandenburg,2015,4494,88119.27631
Brandenburg,2016,3986,93975.06278
Brandenburg,2017,4503,103823.0545
Brandenburg,2018,4661,106692.1378
Brandenburg,2019,4471,105567.3179
Brandenburg,2020,4146,98729.33473
Brandenburg,2021,3707,99446.58231
Brandenburg,2022,3785,96502.84614
Bremen,1990,3890,56104.10819
Bremen,1991,3841,55923.57343
Bremen,1992,3600,53100.3783
Bremen,1993,3322,49029.43489
Bremen,1994,3995,58807.01651
Bremen,1995,4003,59491.62343
Bremen,1996,4194,60361.37506
Bremen,1997,4233,60369.15297
Bremen,1998,4396,62438.72395
Bremen,1999,3878,56411.13681
Bremen,2000,4929,67969.38587
Bremen,2001,4964,67305.2066
Bremen,2002,4698,64350.01561
Bremen,2003,5018,68845.93776
Bremen,2004,3876,56138.0391
Bremen,2005,3002,44305.02159
Bremen,2006,3362,50092.16819
Bremen,2007,4640,63407.09819
Bremen,2008,4204,59409.86382
Bremen,2009,3549,50041.93438
Bremen,2010,4328,61020.34168
Bremen,2011,4260,59796.2979
Bremen,2012,4305,59311.07195
Bremen,2013,4357,55953.94728
Bremen,2014,4399,64247.92111
Bremen,2015,4548,61247.07124
Bremen,2016,4665,63569.28618
Bremen,2017,4227,58762.07439
Bremen,2018,4518,62104.45034
Bremen,2019,4105,56822.44321
Bremen,2020,3672,50992.10089
Bremen,2021,2727.3333333333335,45082.92726
Bremen,2022,1782.6666666666667,39173.75363000001
Hamburg,1990,838,33264.58
Hamburg,1991,918,35931.608
Hamburg,1992,896,36019.532
Hamburg,1993,894,35872.992
Hamburg,1994,1133,39477.876
Hamburg,1995,1247,37562
Hamburg,1996,1207,37486
Hamburg,1997,1319,39465
Hamburg,1998,1283.5,39821.74606666667
Hamburg,1999,1248,40178.49213333333
Hamburg,2000,1212.5,40535.2382
Hamburg,2001,1177,40891.98426666667
Hamburg,2002,1141.5,41248.73033333333
Hamburg,2003,1106,41605.4764
Hamburg,2004,1344,41917.46932
Hamburg,2005,990,37334.28486
Hamburg,2006,1126,32789.18271
Hamburg,2007,1084,35293.22544
Hamburg,2008,868,33962.28291
Hamburg,2009,1028,33317.71678
Hamburg,2010,998,36029.44577
Hamburg,2011,872,32835.44896
Hamburg,2012,983,34628.89105
Hamburg,2013,660,29189.40166
Hamburg,2014,633,29356.9791
Hamburg,2015,637,29549.92099
Hamburg,2016,686,30309.94734
Hamburg,2017,655,29871.53601
Hamburg,2018,686,29675.13407
Hamburg,2019,671,28924.4776
Hamburg,2020,660,29469.69596
Hamburg,2021,685,29684.87669
Hamburg,2022,632,25576.71401
Hessen,1990,6065,136754
Hessen,1991,6400,141527
Hessen,1992,6437,143004
Hessen,1993,6030,133432
Hessen,1994,5992,134558.426
Hessen,1995,5789,132499
Hessen,1996,6028,140920
Hessen,1997,5601,127891
Hessen,1998,4583,112746
Hessen,1999,4149,106897
Hessen,2000,4278,117446
Hessen,2001,4293,121552.958
Hessen,2002,3842,116721.976
Hessen,2003,3849,117520.938
Hessen,2004,3765,116808.052
Hessen,2005,3801,118861.176
Hessen,2006,3730,117761.4
Hessen,2007,3808,118819.2
Hessen,2008,3515,114359.986
Hessen,2009,2944,98625.967
Hessen,2010,3223,110543
Hessen,2011,3059,112183.8742
Hessen,2012,2919,110257.063
Hessen,2013,2862,111249.5259
Hessen,2014,2762,108279.0187
Hessen,2015,2841,109828.605
Hessen,2016,2893,110492.197
Hessen,2017,3014,111337.1823
Hessen,2018,3085,112066.4221
Hessen,2019,2979,109031.2605
Hessen,2020,2839,102286.7182
Hessen,2021,2987,109105.4337
Hessen,2022,2857,104095.3645
Niedersachsen,1990,15403,284533
Niedersachsen,1991,15255,285164
Niedersachsen,1992,14866,281598.2746666667
Niedersachsen,1993,14477,278032.5493333333
Niedersachsen,1994,14088,274466.824
Niedersachsen,1995,13273.5,264675.5865
Niedersachsen,1996,12459,254884.349
Niedersachsen,1997,12714,263886.4098
Niedersachsen,1998,12969,272888.4706
Niedersachsen,1999,13123,277918.18
Niedersachsen,2000,13277,282947.8894
Niedersachsen,2001,12833,276980.3733
Niedersachsen,2002,12389,271012.8572
Niedersachsen,2003,11787,271482.3765
Niedersachsen,2004,11185,271951.8958
Niedersachsen,2005,12007.5,278973.05984999996
